,birthday,name,description,deathday,uri
10,1820,任熊,任熊（1823年7月19日－1857年11月23日）清代晚期著名画家，“海派”艺术的代表人物之一。字谓长，一字湘浦，号不舍，浙江萧山人。幼时家贫，跟塾师学画人像，后寓居苏州、上海以卖画为生。曾流浪到宁波，得遇名师姚燮，在其家“大梅山馆”学画，深得宋人笔法。任熊是绘画全才，人物、花卉、山水、翎毛、虫鱼、走兽，无一不精。画法宗陈洪绶，与弟任薰，儿子任预、侄任颐合称“海上四任”，又与朱熊、张熊合称“沪上三熊”。（来源：《上图古籍数据库》）,1864,http://data.library.sh.cn/entity/person/ezuuff53qqh6wk5b
11,1911,任率英,现代画家。童年父母双亡，寄居舅父家。自幼喜好民间艺术，时有当地老画师冯老智，聚徒讲画，常趋而学技。二十岁只身去关外，流落哈尔滨，于一家文具店当学徒。抱病返乡，刻苦钻研画技，后以务农所得，求学于香港中国肖像学校，上海十联漫画函授学校，上海忠彪油画函授学校，北京国画函授学校等，学习四、五年，兼得诸法之长。1937年从北京国画函授学校吴一舸学国画。后被人物画家徐燕孙收为入室弟子。专攻工笔重彩人物画。1951年调人民美术出版社，任创作室专业画家。擅工笔重彩人物画，多以民族英雄、古典小说、神话传说和民间故事为题材，长期从事中国画、新连环画、年画的创作。编辑出版十二辑《连环画参考资料》。出版有《怎样画刀马人物》、《怎样学习工笔重彩人物画》。（来源：《上图古籍数据库》）,1989,http://data.library.sh.cn/entity/person/nvna50junc7sgr8x
12,1853,任預,任预（1853—1901），一名豫，字立凡，浙江萧山人，著名晚清海派画家，为早期海派大师任熊之子， 山水、人物、花鸟，无所不精。在任熊（1823—1857）、任薰（1835—1893）、任颐（1840—1895）及任预“四任”中，最为年轻。 任熊逝世时， 任预仅四岁，笔墨初无师承，尽变任氏宗派。得赵之谦指授，亦善治印。 见：《近代六十名家画传》、《海上墨林》、《寒松阁谈艺琐录》、《吴县志》、《广印人传》。（来源：《上图古籍数据库》）,1901,http://data.library.sh.cn/entity/person/ade05foisitpwqpa
13,1754,伊秉綬,伊秉绶（1754-1815），字祖似，号墨卿，晚号默庵，清代书法家，福建汀州府宁化县人，故人又称“伊汀州”。乾隆四十四年举人，乾隆五十四年进士，历任刑部主事，后擢员外郎。嘉庆四年任惠州知府，因与其直属长官、两广总督吉庆发生争执，被谪戍军台，昭雪后又升为扬州知府，1802年（嘉庆七年），伊秉绶54岁时，因父病死，去官奉棺回乡，扬州数万市民洒泪送别。62岁病逝后，扬州人为仰慕其遗德，在当地“三贤祠”（祀欧阳修、苏轼、王士祯三人之祠）中并祀伊秉绶，改称“四贤祠”。在任期间，以“廉吏善政”着称。伊秉绶喜绘画、治印，亦有诗集传世。工书，尤精篆隶，精秀古媚。其书超绝古格，使清季书法，放一异彩。隶书尤放纵飘逸，自成高古博大气象，与邓石如并称大家。（来源：《上图古籍数据库》）,1815,http://data.library.sh.cn/entity/person/ngvqcwvukpm2s4fk
14,,伍元蕙,清道光咸丰年间鉴藏家。富收藏，精鉴赏，工行书。（来源：《上图古籍数据库》）,,http://data.library.sh.cn/entity/person/7v01fb5oumpp3g6c
15,1828,何昆玉,何昆玉（1828-1896），男，广东高要人，字伯瑜。清代 篆刻家，篆刻师法秦汉，旁及浙派，司禄二星，在司命北，主增年延德，又主掌功赏、食料、官爵。（来源：《上图古籍数据库》）,1896,http://data.library.sh.cn/entity/person/xjqd80tx1hmp0chh
16,1908,何海霞,现代书画家。幼时即喜爱书画，青年时期曾参加中国画学研究会。1924年拜韩公典为师，1934年拜张大千为师，随其游历山东、四川。中华人民共和国成立后为中国美术家协会陕西分会专业画家。1961年，曾应中央美术学院之邀，在该院授课两年。1983年任陕西国画院副院长，不久调北京，在中国画研究院任专业画家。擅长山水，在继承传统的基础上，饱游沃看，师法自然，作品个性鲜明，立意雄奇，骨体坚凝，笔力雄健，墨色浑厚。有《何海霞画集》、《何海霞书画集》、《何海霞山水画集》。（来源：《上图古籍数据库》）,1998,http://data.library.sh.cn/entity/person/jnndhydjmb0e5d3b
17,1908,余任天,现代书画篆刻家。自幼喜爱书画，1924年春负笈杭州在浙江美术专门学校和浙江艺术专门学校学习西画。因家境贫困，两年半后辍学回乡，先后于诸暨及萧山、嵊县、杭州的中小学担任美术教师。1945年3月，与当时浙江大学龙泉分校的金维坚等人发起创办印学团体“龙渊印社”，研究印学。抗战胜利后在省立西湖博物馆、省立杭州民众教育馆任职。中华人民共和国成立后在杭州自设“金石书画工作室”，潜心于民族传统绘画的研究与创作。1956年参加浙江省文联美术组，1959年成为浙江省国画研究室第一位专业画家，浙江省美协的专业画家。（来源：《上图古籍数据库》）,1984,http://data.library.sh.cn/entity/person/0365ice3z76rsddn
18,1883,余紹宋,余绍宋（1882一1949） 字越园，早年曾用樾园、粤采、觉庵、觉道人、映碧主人等别名，49岁后更号寒柯，浙江龙游人，生于浙江衢州。日本法政大学毕业。清朝宣统二年（1910）回国，以法律科举人授外务部主事。民国元年任浙江公立法政专门学校教务主任兼教习。翌年赴北京，先后任众议院秘书、司法部参事，次长、代理总长、高等文官惩戒委员会委员、修订法律馆顾部、北京美术学校校长、北京师范大学、北京法政大学教授、司法储材馆教务长等职。（来源：《上图古籍数据库》）,1949,http://data.library.sh.cn/entity/person/rj4wr8gjxozn4jfd
19,1904,來楚生,现代书画篆刻家。1921年考入上海美术专科学校。1924年毕业后曾在杭州与潘天寿、姜丹书、唐云等人组织莼社从事书画活动。1937年移居上海，组织东南书画社，曾任上海美术专科学校及新华艺术专科学校教师。中华人民共和国成立后历任上海中国画院画师、上海文史馆馆员、西泠印社副社长。诗、书、画、印四绝，其画清新朴茂、笔墨简练、格调隽逸，在现代花鸟画坛上别具一格。书法拙中寓巧，草书和隶篆最为人称道，篆刻不落前人窠臼，自出新意，其肖形印更是熔汉画像、古肖形印为一炉，在印坛上独树一帜。（来源：《上图古籍数据库》）,1975,http://data.library.sh.cn/entity/person/7lk722brpoo6elwz
20,,俞旦,清光绪年间鉴藏家。富藏金石书画，印鉴多为篆刻家黄士陵所镌。辑有《婺源俞氏清荫堂刊本》。（来源：《上图古籍数据库》）,,http://data.library.sh.cn/entity/person/lev7ex7cerkpdul1
21,1855,倪田,清末民国画家。画人物仕女及佛像皆取景高远，线条流畅，尤善画马及走兽，能随手挥洒，不用巧笔起稿。水墨巨石，设色花卉，腴润遒劲，意境清新而富野趣。兼工山水，然不多见。寓沪鬻画垂三十年。（来源：《上图古籍数据库》）,1919,http://data.library.sh.cn/entity/person/kj32dgs4nvrrne6d
22,1904,傅抱石,现代画家。少年家贫，在瓷器店当学徒，自学书法、篆刻和绘画。1921年考入江西省立第一师范艺术科，1925年完成第一部著作《国画源流述概》，1926年毕业并留校任教。1929年著《中国绘画变迁史纲》，1933年在徐悲鸿帮助下赴日本留学，1935年回国，在中央大学艺术系任教。抗战学校西迁重庆，随校任教。1942年被陈之佛校长聘为国立艺专教授兼校长秘书，1946年随中央大学迁回南京。中华人民共和国成立后历任南京师范学院美术系教授、江苏省中国画院院长、中国美术家协会副主席、江苏分会主席，江苏省书法印章研究会副会长。由于长期对真山真水的体察，画意深邃，章法新颖，善用浓墨、渲染等法，把水、墨、彩融合一体，达到蓊郁淋漓、气势磅礴的效果。在传统技法基础上，推陈出新，独树一帜。著有《国画源流述概》、《中国绘画变迁史纲》、《摹印学》、《中国绘画理论》、《中国美术史》、《中国的山水画和人物画》、《怎样欣赏艺术》、《中国绘画之研究》等。（来源：《上图古籍数据库》）,1965,http://data.library.sh.cn/entity/person/j4wb85fjdp8pf7or
23,1874,劉世珩,清末民国藏书家。光绪二十一年（1895）举人，历任江苏候补道、江宁商会总理、天津造币厂监督、直隶财政监理官、度志部左参议兼湖北造纸厂总办。喜文学，尤工词曲。家藏图书甚富，因获两部宋刊《玉海》，遂名其藏书楼为玉海堂。另有赐书台，以《玉海》和宋刊本《魏书》为其镇库之宝。刊刻书籍颇多，刻本精善，重视校勘。著有《贵池二妙集》、《贵池唐人集》、《临春阁曲谱》、《重编会真杂录》、《贵池先哲遗书待访目》、《秋浦双忠录》、《大小忽雷曲谱》、《梦凤词》、《曲品》等。（来源：《上图古籍数据库》）,1926,http://data.library.sh.cn/entity/person/ayron4xgc2eplwiv
24,1882,劉承干,"劉承幹（1882—1963）字貞一，號翰怡，别署求恕居士，原籍浙江上虞人，其祖於雍正間遷居湖州南潯鎮。清光緒三十一年（1905）貢生，曾任候補内務府卿，入民國以清遺老自居。
嘉業堂之藏始於翰怡之父劉錦藻，即《皇清續文獻通考》四百卷的編者。劉錦藻以個人之力，賡續官書《皇清文獻通考》，自是非廣羅文獻不可，由此奠定了嘉業堂的藏書基礎。
劉承幹有志於藏書始於一九一〇年。因劉家饒於資材，故遠近書商接踵而至，遂使翰怡在短短的幾年時間里，聚書即達六十萬卷。當時各藏書名家，諸如甬東盧址抱經樓、獨山莫氏影山草堂、仁和朱氏結一廬、豐順丁氏持静齋散出之書，盡歸劉氏所有，一時大有海涵百家之勢。
一九二〇—一九二四年，劉承幹在家鄉南湖鎮建成了占地二十畝之廣的藏書樓。樓名「嘉業」，源於劉氏曾斥巨資爲光緒皇帝陵園植樹，爲此溥儀賜其「欽若嘉業」的匾額，翰怡因以名樓。嘉業堂藏書以明刻本二千種和地方志一千二百種名於世，但亦不乏宋元善本秘籍。
嘉業堂藏書管理的最大特點是對外開放，即使是珍本秘刻也樂於提供他人傳抄。《四部叢刊》中，即收有多部劉氏所藏宋、元、明刊的善本。非但如此，凡來讀書、抄書的學者，嘉業堂還爲之提供食宿，真可謂當地的公共圖書館。
劉承幹亦熱心於將所藏善本刻印流傳，爲此，他曾延請當時著名學者如繆荃孫、葉昌熾、董康爲他校書。劉氏刻有《嘉業堂叢書》、《吴興叢書》、《求恕齋叢書》、《留古草堂叢書》、《希古樓叢書》等計一七七種、三千餘卷。在近代中國出版史上有相當影響。
嘉業堂藏書目録甚夥，除已佚的繆荃孫編《嘉業堂藏書志》、董康《嘉業堂藏書續志》及《嘉業堂藏書目録》外，現尚存者有《嘉業堂藏明善本書目》一册，專記明刻善本；《嘉業堂書目》八册，著録圖書七千餘種，其中以集部爲多，約四千種；《嘉業堂鈔校本目録》四卷，著録鈔本一千二百種。此外，劉氏還輯印有《嘉業堂善本書影》五册。
抗戰時期，劉氏家道中落，藏書逐漸散出。其中明刊本一千二百種歸前重慶中央圖書館，現存臺灣；清人文集和地方志現在復旦大學圖書館；其他多見藏於浙江省圖書館。（来源：《明清著名藏书家藏书印》）",1963,http://data.library.sh.cn/entity/person/cc4bod3kvjirv8o4
25,1882,劉承幹,近代藏书家、刻书家。光绪三十一年（1905）秀才，以优行，附贡生。自言“生平嗜书，与世俗之珠玉货财同。”1920年营造书楼，1924年落成，因曾捐巨资助修光绪陵园，清末代皇帝溥仪赐“钦若嘉业”九龙金匾，称名嘉业藏书楼。自此，愈发醉心藏书、刻书活动，鼎盛时聚书达五十七万卷，十八万册，其中宋元刻本一百四十一种，稿抄校本两千余种，地方志书一千一百九十二种。精校刻印刊行《嘉业堂丛书》、《吴兴丛书》、《求恕斋丛书》、《留余草堂丛书》、《嘉业堂金石丛书》等一百七十九种。（来源：《上图古籍数据库》）,1963,http://data.library.sh.cn/entity/person/7z5ld6f11soe16h0
26,1896,劉海粟,刘海粟（1896年3月16日 --- 1994年8月7日），名：盘，字：季芳，号：海翁。祖籍中国安徽省凤阳，出生于中国江苏省常州市。中国杰出的绘画艺术大师、美术教育家、美术史家、画家，擅长油画和中国画。出版有《刘海粟画集》、《刘海粟油画选集》、《刘海粟国画》、《学画真诠》等。历任南京艺术学院院长、名誉院长、教授，上海美术家协会名誉主席。中国美术家协会顾问、全国政协常务委员会委员。1981年意大利国家艺术学院聘任为院士，并颁赠金质奖章。英国剑桥国际传略中心授予“杰出成就奖”。意大利欧洲学院授予“欧洲棕榈金奖”。美国传略研究所授予“伟大成功大使”称号。美国世界议会颁给金焰奖。1925年8月24日，刘海粟使用裸体模特儿引起争议。1994年8月7日，国画艺术大师刘海粟辞世。（来源：《上图古籍数据库》）,1994,http://data.library.sh.cn/entity/person/ssykgbah2shopg44
27,1899,劉淑度,近现代女篆刻家。先后就读于保定高级小学、上海神州女子中学、北京女子师范大学国文系。毕业后，给郑振铎当助手，参与编纂了《插图本中国文学史》、《世界文库》《李长吉诗集》、《岑参诗集》，标点了《二十四史儒林和文苑传》。1935年秋应中国古史学家顾颉刚之邀，到史学研究会历史组管理乙部图书。抗日战争中离开北平到南京图书馆，初任编目工作，后为庋藏部主任。1945年秋转入教育界，在南京第二女子中学任国文教师。中华人民共和国成立后，调至金陵大学附中。1958年在南京第十中学退休后回北京定居。潜心于篆刻艺术，成就斐然。1927年9月拜齐白石为师，技艺大进。1929年秋，齐白石赞誉她“吾弟子数年来技艺大进，与吾乱真”、“已成女子篆刻家先驱”。有《淑度百印集》、《刘淑度刻石残存集》。（来源：《上图古籍数据库》）,1985,http://data.library.sh.cn/entity/person/yqodul1z8nuluvox
28,1775,包世臣,包世臣（1775一1855），男，安徽泾县人。清代学者、书法家、书学理论家。字慎伯，晚号倦翁、小倦游阁外史。嘉庆二十年举人，曾官江西新渝知县，被劾去官。包世臣学识渊博，喜兵家言，治经济学。对农政、货币以及文学等均有研究。28岁时遇邓石如，师从学篆隶，后又倡导北魏。晚年习二王。自称：慎伯中年书从颜、欧入手，转及苏、董，后肆力北魏，晚习二王，遂成绝业。自拟为右军第一人，自负之极。包世臣的主要历史功绩在于通过书论《艺舟双楫》等鼓吹碑学，对清代中、后期书风的变革影响很大，至今为书界称颂。（来源：《上图古籍数据库》）,1855,http://data.library.sh.cn/entity/person/amrksn9442ka5sm7
29,,包棟,清道光同治年间画家。刘咏弟子。擅画山水、人物、花鸟，无不精妙。画人物，衣褶古雅绝伦，似于改琦、费丹旭两家外，别树一帜。所作花木，笔意秀雅，苏浙诗笺，多其手绘。道光二十九年（1849）尝作人物仕女册，同治五年（1866）作大士像。（来源：《上图古籍数据库》）,,http://data.library.sh.cn/entity/person/m5f6s2xn0tfljpu4
30,1908,吳作人,现代画家、美术教育家。1926年入苏州工业专科学校建筑系，1927年转上海艺术大学美术系，1928年入南国艺术学院美术系，9月赴南京中央大学艺术系旁听。1930年赴欧洲学习，先入巴黎高等美术学校西蒙教授画室，后考入比利时布鲁塞尔皇家美术学院白思天院长画室学习。1935年回国，在中央大学艺术系任讲师。抗战期间，随校西迁重庆。1946年任国立北平艺专教授兼教务主任，并当选北平美术家协会理事长。1950年任中央美术学院教授兼教务长，1955年任副院长，1958年任院长，1979年任名誉院长。曾当选中国美术家协会常务理事、副主席。1979年当选中国文联副主席，1985年当选中国美术家协会主席。出版有《吴作人画集》、《吴作人画辑》、《吴作人速写集》、《吴作人文选》等。（来源：《上图古籍数据库》）,1997.4,http://data.library.sh.cn/entity/person/m38tuv6a2uwjyczd
31,1609,吳偉業,吴伟业（1609—1672）字骏公，号梅村，别署鹿樵生、灌隐主人、大云道人，汉族，江苏太仓人。 生于明万历三十七年，明崇祯四年（1631）进士，曾任翰林院编修、左庶子等职。清顺治十年（1653）被迫应诏北上，次年被授予秘书院侍讲，后升国子监祭酒。顺治十三年底，以奉嗣母之丧为由乞假南归，此后不复出仕。 他是明末清初著名诗人，与钱谦益、龚鼎孳并称“江左三大家”，又为娄东诗派开创者。长于七言歌行，初学“长庆体”，后自成新吟，后人称之为“梅村体”。（来源：《上图古籍数据库》）,1672,http://data.library.sh.cn/entity/person/jbzfmxazidmgc13o
32,,吳兆傑,清乾隆年间篆刻家。幼师从同邑吴天仪学习，通六书，精篆刻。性豪侠、诙谐，治印收入多用于购买法书、古物，亦随手散尽。各体具工，不仅能刻石，亦擅刻金、玉、晶、牙、瓷、竹，款识尤为精绝。（来源：《上图古籍数据库》）,,http://data.library.sh.cn/entity/person/zrw1h2u5tnaqir76
33,,吳城,吴城（？-1780）字敦復，號甌亭，吴焯長子。瓶花齋舊藏有宋刻唐人許渾《丁卯集》，當時爲人豪奪而去。失書二十年後，吴城竟在北京城東書肆中無意間遇見此書，檢閲書册，其父吴焯藏書章宛然簡端，不禁狂喜，即以豐價購下。回家後，邀當時名流歌咏以紀其事，吴城又自作長律三首，其中有句云：「縱橫私印猶完好，故物歸來信宿緣。」（来源：《明清著名藏书家藏书印》）,,http://data.library.sh.cn/entity/person/vvjntczjcgq4qg8p
34,1835,吳大澂,吴大澂（chéng）（1835～1902），初名大淳，字止敬，又字清卿，号恒轩，晚号愙斋，江苏吴县（今江苏苏州）人。清代官员、学者、金石学家、书画家，民族英雄。清同治七年（1868年）进士。善画山水、花卉，精于篆书。皆得力于金石鉴赏修养。在第二次鸦片战争之后的1886年，在天时地利人和一个不占的谈判桌上，吴大澂据理力争，迫使沙俄重立土字碑、并对中国的出海权进行妥协：图们江口的出海权虽不能共享，但中国船只可以借道出海，俄国不得阻止。吴大澂又设法延长谈判，迫使沙俄归还了黑顶子山地区（今吉林珲春敬信镇）。其战略眼光与爱国精神令后人称颂。（来源：《上图古籍数据库》）,1902,http://data.library.sh.cn/entity/person/62l6so8l6amt3ujy
35,1878,吳待秋,清末民国书画篆刻家。吴伯滔之子，十八岁应童子试名列前茅。以鬻画度日，后赴杭州求是书院读书，因病辍学返乡，愈后赴北平鬻画。四十岁后，受陈叔通之荐，任上海商务印书馆编译所美术部部长，不及两年，辞印书馆之职，专以鬻画为生，为海上题襟馆座上客。1946年任上海美术会监事，参与指导上海市美术馆的筹建工作。（来源：《上图古籍数据库》）,1949,http://data.library.sh.cn/entity/person/rr3vgaflf1bvpe20
36,1844,吳昌碩,吴昌硕（1844.8.1—1927.11.29），男，原名俊，字昌硕，别号缶庐、苦铁等，汉族，浙江湖州人。中国近、现代书画艺术发展过渡时期的关键人物，“诗、书、画、印”四绝的一代宗师，晚清民国时期著名国画家、书法家、篆刻家，与任伯年、蒲华、虚谷齐名为“清末海派四大家”。吴昌硕的艺术别辟蹊径、贵于创造，最擅长写意花卉，他以书法入画，把书法、篆刻的行笔、运刀、章法融入绘画，形成富有金石味的独特画风。他以篆笔写梅兰，狂草作葡萄，所作花卉木石，笔力敦厚老辣、纵横恣肆、气势雄强，构图也近书印的章法布白，虚实相生、主体突出，画面用色对比强烈。（来源：《上图古籍数据库》）,1927,http://data.library.sh.cn/entity/person/lryw7iijgq9346h2
37,1773,吳榮光,清官吏、诗人、书法家。嘉庆四年(1799)进士，改庶吉士，授编修。迁监察御史，以事革职。起授刑部员外郎、郎中，历陕西陕安道、福建盐法道，福建、浙江、湖北按察使，贵州、福建、湖南布政使，湖南巡抚，降福建布政使，以原品休致。为岭南名宿，工于金石书画，鉴别最精。从学阮元，嫡传阮学。又从阮家得见珍贵书画、文物，因而精研碑帖拓本、吉金乐石，成为著名鉴藏家、金石学家。著有《辛丑销夏记》、《吾学录初编》、《白云山人文稿》、《绿伽楠馆诗稿》、《筠清馆金石录》、《筠清馆法帖》、《历代名人年谱》等。（来源：《上图古籍数据库》）,1843,http://data.library.sh.cn/entity/person/cqh0rmjjpezwsggi
38,1894,吳湖帆,近现代画家、收藏家、书画鉴定家。受家学熏陶，酷爱艺术。十三岁学画，初从“四王”、董其昌入手，继而上探五代、两宋以及元明诸家。一面悉心观摩家藏历代名迹，一面遍游名山大川，工山水，亦擅松、竹、芙蕖，有时画鸟、画牛，更以稀见为贵。在艺术上形成秀丽丰腴、清隽明润的独特风格。与赵叔孺、吴待秋、冯超然被誉为“海上四大家”。又与吴子深、吴待秋、冯超然合称“三吴一冯”。?精于鉴赏，家藏宋拓欧阳询贴四种，故其居为四欧堂。曾任故宫博物院评审委员。中华人民共和国成立后任上海文史馆馆员、上海中国画院画师、中国美术家协会上海分会副主席。二十世纪中国画坛一位重要的画家，他在中国绘画史上的意义其实已远超出他作为一名山水画家的意义。（来源：《上图古籍数据库》）,1939,http://data.library.sh.cn/entity/person/ob1cjagjiwhg9zix
39,1840,吳滔,清末画家。能诗善画，工山水、花卉，卓然成家，山水雄放酣畅，花卉浓淡适宜。著有《来鹭草堂集》。（来源：《上图古籍数据库》）,1895,http://data.library.sh.cn/entity/person/hkr8puva4mxhxeqz
